Year,Month,DOMESTIC,Code
2004,10,1012673,BOS
2004,11,894009,BOS
2004,12,867802,BOS
2005,1,733148,BOS
2005,2,816257,BOS
2005,3,949957,BOS
2005,4,997140,BOS
2005,5,967626,BOS
2005,6,995524,BOS
2005,7,1045969,BOS
2005,8,1034299,BOS
2005,9,884211,BOS
2005,10,972251,BOS
2005,11,933461,BOS
2005,12,885114,BOS
2006,1,790551,BOS
2006,2,840925,BOS
2006,3,1017642,BOS
2006,4,1031780,BOS
2006,5,984342,BOS
2006,6,1022824,BOS
2006,7,1053820,BOS
2006,8,1059102,BOS
2006,9,881299,BOS
2006,10,1045018,BOS
2006,11,973249,BOS
2006,12,925937,BOS
2007,1,819055,BOS
2007,2,837892,BOS
2007,3,1028402,BOS
2007,4,1055570,BOS
2007,5,1038814,BOS
2007,6,1080692,BOS
2007,7,1098776,BOS
2007,8,1137134,BOS
2007,9,901151,BOS
2007,10,1055018,BOS
2007,11,949635,BOS
2007,12,851131,BOS
2008,1,763846,BOS
2008,2,838410,BOS
2008,3,951901,BOS
2008,4,1001920,BOS
2008,5,976416,BOS
2008,6,1016808,BOS
2008,7,1042481,BOS
2008,8,1053086,BOS
2008,9,824331,BOS
2008,10,932013,BOS
2008,11,798474,BOS
2008,12,825896,BOS
2009,1,669584,BOS
2009,2,741142,BOS
2009,3,858360,BOS
2009,4,924771,BOS
2009,5,916189,BOS
2009,6,953409,BOS
2009,7,1048288,BOS
2009,8,1063442,BOS
2009,9,885058,BOS
2009,10,1003404,BOS
2009,11,864394,BOS
2009,12,870135,BOS
2010,1,747377,BOS
2010,2,771837,BOS
2010,3,945457,BOS
2010,4,1013205,BOS
2010,5,989513,BOS
2010,6,1024778,BOS
2010,7,1095972,BOS
2010,8,1141492,BOS
2010,9,962202,BOS
2010,10,1106907,BOS
2010,11,987393,BOS
2010,12,919973,BOS
2011,1,788143,BOS
2011,2,806685,BOS
2011,3,1013276,BOS
2011,4,1037339,BOS
2011,5,1077739,BOS
2011,6,1101076,BOS
2011,7,1173957,BOS
2011,8,1159265,BOS
2011,9,992464,BOS
2011,10,1093102,BOS
2011,11,992644,BOS
2011,12,941340,BOS
2012,1,828007,BOS
2012,2,863957,BOS
2012,3,1027666,BOS
2012,4,1065672,BOS
2012,5,1082526,BOS
2012,6,1095621,BOS
2012,7,1147085,BOS
2012,8,1184085,BOS
2012,9,967462,BOS
2012,10,1048347,BOS
2012,11,1006294,BOS
2012,12,937869,BOS
2013,1,851838,BOS
2013,2,839888,BOS
2013,3,1025387,BOS
2013,4,1069384,BOS
2013,5,1113009,BOS
2013,6,1151250,BOS
2013,7,1226855,BOS
2013,8,1242467,BOS
2013,9,1018561,BOS
2013,10,1143967,BOS
2013,11,998101,BOS
2013,12,1033100,BOS
2014,1,848220,BOS
2014,2,851395,BOS
2014,3,1067856,BOS
2014,4,1141431,BOS
2014,5,1171691,BOS
2014,6,1185736,BOS
2014,7,1275522,BOS
2014,8,1266971,BOS
2014,9,1083619,BOS
2014,10,1192073,BOS
2014,11,1033434,BOS
2014,12,1060185,BOS
2015,1,860428,BOS
2015,2,841979,BOS
2015,3,1123522,BOS
2015,4,1189899,BOS
2015,5,1217111,BOS
2015,6,1238512,BOS
2015,7,1355142,BOS
2015,8,1340996,BOS
2015,9,1135050,BOS
2015,10,1278149,BOS
2015,11,1119375,BOS
2015,12,1088298,BOS
2016,1,941623,BOS
2016,2,976930,BOS
2016,3,1168850,BOS
2016,4,1218548,BOS
2016,5,1280593,BOS
2016,6,1337990,BOS
2016,7,1405695,BOS
2016,8,1405135,BOS
2016,9,1210196,BOS
2016,10,1324186,BOS
2016,11,1219288,BOS
2016,12,1163963,BOS
2017,1,1033936,BOS
2017,2,999905,BOS
2017,3,1235820,BOS
2017,4,1299133,BOS
2017,5,1356118,BOS
2017,6,1374806,BOS
2017,7,1433541,BOS
2017,8,1464437,BOS
2017,9,1220076,BOS
2017,10,1418973,BOS
2017,11,1280727,BOS
2017,12,1210681,BOS
2018,1,1027783,BOS
2018,2,1096046,BOS
2018,3,1258900,BOS
2018,4,1422112,BOS
2018,5,1466555,BOS
2018,6,1498896,BOS
2018,7,1580754,BOS
2018,8,1592583,BOS
2002,10,759486,BWI
2002,11,687435,BWI
2002,12,730522,BWI
2003,1,634628,BWI
2003,2,557207,BWI
2003,3,733863,BWI
2003,4,774625,BWI
2003,5,832023,BWI
2003,6,871736,BWI
2003,7,947011,BWI
2003,8,915598,BWI
2003,9,702147,BWI
2003,10,839758,BWI
2003,11,769831,BWI
2003,12,785671,BWI
2004,1,665107,BWI
2004,2,680981,BWI
2004,3,839783,BWI
2004,4,891049,BWI
2004,5,881777,BWI
2004,6,919633,BWI
2004,7,926764,BWI
2004,8,868448,BWI
2004,9,684488,BWI
2004,10,791568,BWI
2004,11,750074,BWI
2004,12,736608,BWI
2005,1,657081,BWI
2005,2,623824,BWI
2005,3,829091,BWI
2005,4,760322,BWI
2005,5,827159,BWI
2005,6,857906,BWI
2005,7,923948,BWI
2005,8,884631,BWI
2005,9,748977,BWI
2005,10,803520,BWI
2005,11,792497,BWI
2005,12,754393,BWI
2006,1,682569,BWI
2006,2,668578,BWI
2006,3,845045,BWI
2006,4,861547,BWI
2006,5,896073,BWI
2006,6,936021,BWI
2006,7,941075,BWI
2006,8,917510,BWI
2006,9,774979,BWI
2006,10,844553,BWI
2006,11,818101,BWI
2006,12,765145,BWI
2007,1,692663,BWI
2007,2,646963,BWI
2007,3,825521,BWI
2007,4,844415,BWI
2007,5,907769,BWI
2007,6,966033,BWI
2007,7,981081,BWI
2007,8,993869,BWI
2007,9,811794,BWI
2007,10,880024,BWI
2007,11,832298,BWI
2007,12,792625,BWI
2008,1,725193,BWI
2008,2,722550,BWI
2008,3,886089,BWI
2008,4,842623,BWI
2008,5,932435,BWI
2008,6,935613,BWI
2008,7,940828,BWI
2008,8,913270,BWI
2008,9,728464,BWI
2008,10,842656,BWI
2008,11,731213,BWI
2008,12,762626,BWI
2009,1,678183,BWI
2009,2,642397,BWI
2009,3,816176,BWI
2009,4,867122,BWI
2009,5,887963,BWI
2009,6,928354,BWI
2009,7,1007974,BWI
2009,8,955064,BWI
2009,9,813148,BWI
2009,10,907612,BWI
2009,11,818414,BWI
2009,12,792233,BWI
2010,1,719558,BWI
2010,2,560740,BWI
2010,3,889049,BWI
2010,4,873692,BWI
2010,5,936047,BWI
2010,6,1011155,BWI
2010,7,1055112,BWI
2010,8,1004639,BWI
2010,9,840273,BWI
2010,10,961963,BWI
2010,11,877301,BWI
2010,12,846752,BWI
2011,1,725093,BWI
2011,2,676663,BWI
2011,3,903322,BWI
2011,4,916715,BWI
2011,5,993773,BWI
2011,6,1031178,BWI
2011,7,1065475,BWI
2011,8,973171,BWI
2011,9,851214,BWI
2011,10,931893,BWI
2011,11,860705,BWI
2011,12,837014,BWI
2012,1,723202,BWI
2012,2,723526,BWI
2012,3,919383,BWI
2012,4,921189,BWI
2012,5,982616,BWI
2012,6,1055701,BWI
2012,7,1062997,BWI
2012,8,1013366,BWI
2012,9,843756,BWI
2012,10,884885,BWI
2012,11,874619,BWI
2012,12,822483,BWI
2013,1,734488,BWI
2013,2,697237,BWI
2013,3,921719,BWI
2013,4,868282,BWI
2013,5,986820,BWI
2013,6,1010100,BWI
2013,7,1028066,BWI
2013,8,986491,BWI
2013,9,826400,BWI
2013,10,916905,BWI
2013,11,834386,BWI
2013,12,878630,BWI
2014,1,706787,BWI
2014,2,644017,BWI
2014,3,864360,BWI
2014,4,911289,BWI
2014,5,972703,BWI
2014,6,991092,BWI
2014,7,1043261,BWI
2014,8,985757,BWI
2014,9,844223,BWI
2014,10,925516,BWI
2014,11,833255,BWI
2014,12,869496,BWI
2015,1,710575,BWI
2015,2,658717,BWI
2015,3,899409,BWI
2015,4,938530,BWI
2015,5,995886,BWI
2015,6,1020601,BWI
2015,7,1107009,BWI
2015,8,1017772,BWI
2015,9,914839,BWI
2015,10,1004659,BWI
2015,11,951328,BWI
2015,12,951753,BWI
2016,1,745281,BWI
2016,2,740559,BWI
2016,3,974841,BWI
2016,4,966941,BWI
2016,5,1045661,BWI
2016,6,1092703,BWI
2016,7,1114451,BWI
2016,8,1047838,BWI
2016,9,974426,BWI
2016,10,1027199,BWI
2016,11,1013664,BWI
2016,12,1001050,BWI
2017,1,842909,BWI
2017,2,761228,BWI
2017,3,985079,BWI
2017,4,1034445,BWI
2017,5,1095537,BWI
2017,6,1162553,BWI
2017,7,1183480,BWI
2017,8,1136531,BWI
2017,9,961011,BWI
2017,10,1089676,BWI
2017,11,1088361,BWI
2017,12,1043096,BWI
2018,1,882892,BWI
2018,2,828908,BWI
2018,3,1073317,BWI
2018,4,1073642,BWI
2018,5,1143228,BWI
2018,6,1186112,BWI
2018,7,1189939,BWI
2018,8,1151091,BWI
2002,10,893520,CLT
2002,11,849925,CLT
2002,12,891351,CLT
