F,F,F,328
F,F,M,169
F,F,S,5
F,M,F,168
F,M,M,297
F,M,S,47
F,S,F,11
F,S,M,54
F,S,S,23
M,F,F,236
M,F,M,272
M,F,S,31
M,M,F,226
M,M,M,699
M,M,S,286
M,S,F,47
M,S,M,241
M,S,S,166
S,F,F,18
S,F,M,40
S,F,S,3
S,M,F,37
S,M,M,247
S,M,S,197
S,S,F,31
S,S,M,185
S,S,S,344
